Price;Neighbourhood Cleansed;City;Country;Property Type;Room Type;Accommodates;Bathrooms;Security Deposit;Cleaning Fee;Guests Included;Extra People;Amenities;Availability 365;Review Scores Rating
60.0;Jerónimos;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;25.0;1;0;0;117;95.0
50.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;15.0;1;0;0;208;91.0
10.0;Vista Alegre;Madrid;Spain;Apartment;Shared room;1;1.5;;5.0;1;0;0;140;
30.0;Embajadores;Madrid;Spain;Apartment;Private room;2;3.0;;;1;0;0;311;
32.0;Gaztambide;Madrid;Spain;Apartment;Private room;2;1.0;;;1;10;0;337;92.0
35.0;Embajadores;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;356;97.0
80.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;300.0;18.0;2;21;0;75;98.0
25.0;Sol;Madrid;Spain;Apartment;Private room;2;3.0;;14.0;1;5;0;74;
69.0;Calvià;Illetes;Spain;Apartment;Entire home/apt;4;1.0;150.0;45.0;3;10;1;339;100.0
158.0;Goya;Madrid;Spain;Apartment;Entire home/apt;4;2.0;;160.0;2;20;0;52;100.0
29.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;;1;10;0;65;91.0
85.0;Fuente del Berro;Madrid;Spain;Apartment;Entire home/apt;2;2.0;100.0;;1;0;0;281;
52.0;Ibiza;Madrid;Spain;Apartment;Entire home/apt;2;1.0;300.0;;1;0;0;355;92.0
55.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;20.0;1;0;0;329;84.0
39.0;Casa de Campo;Madrid;Spain;Apartment;Private room;2;2.0;;10.0;1;13;0;86;96.0
65.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;130.0;25.0;2;10;0;242;90.0
50.0;Ibiza;Madrid;Spain;Apartment;Private room;3;1.0;;;1;0;0;0;
50.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;500.0;49.0;2;10;0;189;86.0
160.0;Palacio;Madrid;Spain;Loft;Entire home/apt;4;2.0;;;1;0;0;326;93.0
29.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;2;1.0;150.0;30.0;1;0;0;60;85.0
35.0;Almendrales;Madrid;Spain;House;Private room;2;;;;1;0;0;365;77.0
14.0;Moscardó;Madrid;Spain;Apartment;Private room;2;1.0;;14.0;1;10;0;264;98.0
70.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;;1;0;0;328;84.0
25.0;Etterbeek;Etterbeek;Belgium;Bed & Breakfast;Private room;1;0.5;;;1;0;0;0;
25.0;Lista;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;90;89.0
130.0;Vallehermoso;Madrid;Spain;Apartment;Entire home/apt;4;1.0;300.0;90.0;1;0;1;353;85.0
60.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;20.0;1;0;0;176;20.0
25.0;Prosperidad;Madrid;Spain;Apartment;Private room;1;1.0;300.0;5.0;1;10;0;365;80.0
26.0;Costillares;Madrid;Spain;Apartment;Shared room;2;1.0;;;1;14;0;365;20.0
45.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;90.0;25.0;1;0;0;216;84.0
30.0;Palma de Mallorca;Palma;Spain;Apartment;Private room;1;1.0;;10.0;1;0;0;362;
