Price;Neighbourhood Cleansed;City;Country;Property Type;Room Type;Accommodates;Bathrooms;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating
20.0;Embajadores;Madrid;Spain;Apartment;Private room;2;4.0;;15.0;1;5;52;100.0
86.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;250.0;15.0;2;5;260;
66.0;Rixdorf;Berlin;Germany;Apartment;Private room;2;1.0;;24.0;1;0;0;
30.0;Palacio;Madrid;Spain;Apartment;Shared room;1;2.0;200.0;30.0;1;0;280;
100.0;Santanyí;Santanyí;Spain;Apartment;Entire home/apt;2;1.0;300.0;;1;0;264;92.0
42.0;Delicias;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;92.0
28.0;Estrella;Madrid;Spain;Apartment;Private room;2;1.0;;;1;10;144;100.0
130.0;Panthéon;Paris;France;Apartment;Entire home/apt;4;1.0;130.0;70.0;1;0;146;95.0
29.0;Universidad;Madrid;Spain;Condominium;Private room;2;1.0;100.0;5.0;1;0;352;85.0
100.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;200.0;50.0;1;0;270;
60.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;2;10;325;95.0
60.0;Nueva España;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;30.0;1;10;140;
30.0;Hispanoamérica;Madrid;Spain;Apartment;Entire home/apt;2;1.0;100.0;40.0;1;0;181;100.0
24.0;ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ;Athina;Greece;Apartment;Entire home/apt;6;1.0;200.0;42.0;3;9;146;95.0
39.0;Justicia;Madrid;Spain;Bed & Breakfast;Private room;2;1.0;;15.0;1;0;334;93.0
18.0;Pacífico;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;245;100.0
240.0;Trafalgar;Madrid;Spain;Apartment;Entire home/apt;8;2.0;200.0;30.0;1;0;301;90.0
35.0;Palacio;Madrid;Spain;Bed & Breakfast;Private room;2;2.0;;;1;0;225;87.0
48.0;Almagro;Madrid;Spain;Apartment;Private room;2;1.0;80.0;;2;0;338;96.0
65.0;Almagro;Madrid;Spain;Apartment;Entire home/apt;3;1.0;150.0;25.0;2;20;30;91.0
20.0;Opañel;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;
98.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;2.0;200.0;36.0;4;15;136;90.0
28.0;Palacio;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;
46.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;20;86.0
55.0;Nueva España;Madrid;Spain;Bed & Breakfast;Private room;2;1.5;;;2;30;342;96.0
90.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;250.0;30.0;1;10;365;80.0
24.0;Canillas;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;330;73.0
192.0;Palacio;Madrid;Spain;Condominium;Entire home/apt;5;3.0;200.0;73.0;2;12;59;80.0
11.0;Argüelles;Madrid;Spain;Apartment;Shared room;10;1.0;;;1;11;177;73.0
250.0;II Parioli/Nomentano;Roma;Italy;Apartment;Entire home/apt;2;1.0;300.0;;2;25;36;98.0
25.0;Trafalgar;Madrid;Spain;Apartment;Private room;2;1.0;;20.0;2;15;338;80.0
25.0;Vinateros;Madrid;Spain;House;Private room;1;1.0;;;1;0;279;100.0
70.0;Acacias;Madrid;Spain;Apartment;Entire home/apt;5;1.0;200.0;;4;10;295;80.0
76.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;36.0;2;0;48;100.0
35.0;Cármenes;Madrid;Spain;House;Private room;1;0.5;;;1;0;365;
31.0;Palacio;Madrid;Spain;Apartment;Private room;2;1.0;;9.0;1;0;159;91.0
75.0;Vallehermoso;Madrid;Spain;Apartment;Private room;1;2.0;;;1;0;196;
45.0;Goya;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;286;100.0
21.0;Trafalgar;Madrid;Spain;Apartment;Private room;2;1.0;;;1;19;331;100.0
37.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;1;12;50;95.0
25.0;Universidad;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;80.0
55.0;Castilla;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;
200.0;Trafalgar;Madrid;Spain;Apartment;Entire home/apt;3;2.0;;;1;0;0;
11.0;Argüelles;Madrid;Spain;Apartment;Shared room;10;1.0;;;1;15;365;
27.0;Argüelles;Madrid;Spain;Apartment;Private room;2;1.0;;;1;19;311;84.0
160.0;l'Antiga Esquerra de l'Eixample;Barcelona;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;13;
40.0;Almagro;Madrid;Spain;Apartment;Entire home/apt;2;1.0;100.0;35.0;1;5;281;73.0
30.0;Cuatro Caminos;Madrid;Spain;Condominium;Private room;1;1.0;150.0;;1;0;337;99.0
80.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;2;1.0;350.0;;1;0;142;100.0
110.0;Nueva España;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;50.0;1;0;365;
20.0;Pinar del Rey;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;321;90.0
30.0;Palacio;Madrid;Spain;Apartment;Private room;2;1.0;200.0;;1;25;255;100.0
60.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;6;1.0;;36.0;2;10;340;88.0
59.0;Sol;Madrid;Spain;Apartment;Entire home/apt;2;1.0;150.0;15.0;1;0;319;98.0
20.0;Almenara;Madrid;Spain;House;Private room;2;1.0;;;1;12;343;94.0
100.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;2;2.0;200.0;;1;0;326;97.0
45.0;Casco Histórico de Vicálvaro;Madrid;Spain;Apartment;Entire home/apt;5;1.0;100.0;40.0;4;15;283;
80.0;Recoletos;Madrid;Spain;Apartment;Entire home/apt;2;1.0;100.0;15.0;1;0;332;92.0
32.0;Alameda de Osuna;Madrid;Spain;Bed & Breakfast;Private room;2;2.0;;;1;20;328;96.0
99.0;la Dreta de l'Eixample;Barcelona;Spain;Apartment;Entire home/apt;4;1.0;;25.0;4;50;300;82.0
120.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;2.0;100.0;40.0;2;20;209;98.0
75.0;Palacio;Madrid;Spain;Apartment;Private room;2;1.0;;;1;28;353;
80.0;el Raval;Barcelona;Spain;Apartment;Entire home/apt;2;1.0;;25.0;2;20;3;94.0
16.0;Cortes;Madrid;Spain;Apartment;Private room;1;1.5;;;1;0;0;96.0
35.0;Universidad;Madrid;Spain;Apartment;Private room;1;1.0;;11.0;1;0;365;
50.0;Sants;Barcelona;Spain;Apartment;Entire home/apt;4;2.0;250.0;75.0;2;0;148;93.0
48.0;Popincourt;Paris;France;Apartment;Private room;2;1.0;200.0;;1;25;323;
21.0;Peñagrande;Madrid;Spain;House;Private room;1;1.0;100.0;;1;0;248;80.0
105.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;6;1.0;200.0;60.0;4;15;116;98.0
25.0;Ciudad Jardín;Madrid;Spain;Apartment;Private room;2;1.0;;;1;10;186;98.0
33.0;Goya;Madrid;Spain;Condominium;Private room;2;1.0;;;1;0;126;96.0
18.0;Estrella;Madrid;Spain;Apartment;Private room;1;2.0;;;1;0;336;
56.0;el Raval;Barcelona;Spain;Apartment;Entire home/apt;2;1.0;;30.0;2;0;215;80.0
70.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;5;1.0;200.0;40.0;2;15;140;100.0
70.0;Argüelles;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;10.0;4;0;158;95.0
29.0;Puerta del Angel;Madrid;Spain;Apartment;Entire home/apt;2;1.0;100.0;50.0;1;5;280;75.0
23.0;Pueblo Nuevo;Madrid;Spain;Apartment;Private room;1;0.5;;5.0;1;12;90;100.0
30.0;Universidad;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;286;90.0
60.0;Argüelles;Madrid;Spain;Loft;Entire home/apt;4;1.0;150.0;35.0;2;15;320;98.0
45.0;Simancas;Madrid;Spain;Apartment;Entire home/apt;3;2.0;;30.0;1;10;258;95.0
195.0;Lista;Madrid;Spain;House;Entire home/apt;4;2.0;250.0;30.0;1;0;356;100.0
59.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;5;1.0;150.0;30.0;2;15;333;77.0
90.0;Guindalera;Madrid;Spain;Apartment;Entire home/apt;5;1.0;;40.0;4;10;348;97.0
80.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;75.0;2;0;61;95.0
80.0;el Camp d'en Grassot i Gràcia Nova;Barcelona;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;8;80.0
79.0;Lista;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;20.0;1;0;4;
79.0;Argüelles;Madrid;Spain;Apartment;Entire home/apt;6;1.0;100.0;30.0;1;10;160;
50.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;10.0;1;10;62;90.0
18.0;Pinar del Rey;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;176;95.0
52.0;l'Antiga Esquerra de l'Eixample;Barcelona;Spain;Apartment;Private room;2;1.0;;30.0;1;0;207;97.0
18.0;Pacífico;Madrid;Spain;Apartment;Private room;2;1.0;;;3;12;242;91.0
75.0;Casa de Campo;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;
70.0;Gaztambide;Madrid;Spain;Apartment;Entire home/apt;2;1.0;300.0;20.0;2;20;99;
55.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;12.0;1;0;264;93.0
105.0;Argüelles;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;30.0;1;0;240;
25.0;Palacio;Madrid;Spain;Apartment;Private room;2;1.0;;;1;13;59;97.0
23.0;Lista;Madrid;Spain;Apartment;Private room;2;1.0;;;1;9;359;90.0
200.0;Cleveland Heights;Oakland;United States;Apartment;Entire home/apt;3;1.0;150.0;80.0;1;0;365;90.0
77.0;Recoletos;Madrid;Spain;Condominium;Entire home/apt;2;1.0;500.0;25.0;1;0;335;95.0
80.0;Delicias;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;;1;0;0;
55.0;Trafalgar;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;;2;10;316;94.0
90.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;96.0;30.0;2;15;301;92.0
55.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;30;98;87.0
35.0;Nueva España;Madrid;Spain;House;Private room;1;1.0;;;1;30;326;89.0
50.0;Casco Histórico de Vallecas;Madrid, Comunidad de Madrid, ES;Spain;Loft;Entire home/apt;2;2.0;200.0;20.0;2;20;358;100.0
89.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.5;100.0;35.0;2;15;285;98.0
79.0;el Barri Gòtic;Barcelona;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;2;
20.0;Casco Histórico de Vicálvaro;Madrid;Spain;House;Private room;1;1.0;;;1;0;179;100.0
60.0;Vallehermoso;Madrid;Spain;Apartment;Entire home/apt;1;1.0;;;1;0;0;
32.0;Arapiles;Madrid;Spain;Apartment;Private room;1;2.0;200.0;30.0;1;0;281;
50.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;25.0;2;5;319;95.0
50.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;6;1.0;150.0;;1;10;250;86.0
130.0;Sol;Madrid;Spain;Apartment;Entire home/apt;6;2.0;200.0;40.0;2;25;214;94.0
70.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;200.0;30.0;1;0;73;80.0
23.0;Lista;Madrid;Spain;House;Private room;1;1.0;;;1;0;216;92.0
40.0;Palos de Moguer;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;20.0;1;5;5;93.0
89.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;1;5;135;
90.0;Sol;Madrid;Spain;Apartment;Entire home/apt;3;2.0;150.0;30.0;1;0;97;96.0
140.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;30.0;3;12;280;99.0
24.0;Palacio;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;5;216;100.0
25.0;Puerta del Angel;Madrid;Spain;Apartment;Private room;2;1.0;;20.0;1;0;305;100.0
87.0;Bellas Vistas;Madrid;Spain;Apartment;Entire home/apt;8;2.0;150.0;;4;5;87;95.0
75.0;Colina;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;365;
188.0;Artà;Betlem;Spain;Chalet;Entire home/apt;8;2.0;;;1;0;153;
140.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;6;2.0;200.0;60.0;2;20;286;20.0
27.0;Almagro;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;364;100.0
19.0;San Isidro;Madrid;Spain;Apartment;Private room;1;1.0;;;1;5;365;100.0
25.0;Chopera;Madrid;Spain;Apartment;Private room;2;1.0;;;1;5;111;100.0
40.0;Rejas;Madrid;Spain;Apartment;Private room;2;1.0;;;2;0;0;
14.0;San Diego;Madrid;Spain;Apartment;Private room;1;1.0;90.0;;1;0;77;100.0
60.0;Aluche;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;126;91.0
17.0;Embajadores;Madrid;Spain;Apartment;Private room;1;2.0;;;1;0;255;90.0
125.0;Sol;Madrid;Spain;Apartment;Entire home/apt;6;1.0;150.0;;4;20;90;95.0
80.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;30.0;2;15;24;92.0
35.0;Palacio;Madrid;Spain;Apartment;Private room;1;3.0;200.0;30.0;1;0;100;
14.0;Los Rosales;Madrid;Spain;Apartment;Private room;3;1.5;;;1;10;350;83.0
28.0;Imperial;Madrid;Spain;Apartment;Private room;2;1.0;;;1;5;321;94.0
82.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;200.0;50.0;1;5;56;
140.0;Alcúdia;Alcúdia;Spain;House;Entire home/apt;8;4.0;;;6;20;289;80.0
20.0;Nueva España;Madrid;Spain;Apartment;Shared room;4;1.0;;;1;20;269;
55.0;Sol;Madrid;Spain;Apartment;Private room;2;1.0;200.0;;1;15;199;99.0
54.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;10.0;2;10;0;93.0
62.0;Landstra§e;Wien;Austria;Apartment;Entire home/apt;6;1.0;;30.0;2;9;292;80.0
59.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;;2;10;162;96.0
21.0;San Fermín;Madrid;Spain;Apartment;Private room;2;1.0;100.0;10.0;1;5;332;92.0
23.0;Palos de Moguer;Madrid;Spain;Apartment;Private room;2;1.0;100.0;10.0;2;10;305;85.0
59.0;Imperial;Madrid;Spain;Apartment;Entire home/apt;5;1.0;295.0;23.0;2;19;142;93.0
55.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;2;1.0;120.0;20.0;1;0;129;93.0
99.0;Santanyí;Santanyí;Spain;Apartment;Entire home/apt;6;1.0;120.0;;6;20;321;80.0
78.0;la Dreta de l'Eixample;Barcelona;Spain;Apartment;Private room;2;2.0;90.0;;2;20;231;94.0
60.0;Arapiles;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;365;
19.0;Justicia;Madrid;Spain;Apartment;Private room;1;1.0;94.0;5.0;1;0;13;100.0
190.0;l'Antiga Esquerra de l'Eixample;Barcelona;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;12;
25.0;Vista Alegre;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;353;81.0
108.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;6;2.0;200.0;48.0;2;11;326;86.0
25.0;Sol;Madrid;Spain;Apartment;Private room;2;3.0;;14.0;1;5;74;
50.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;30.0;1;0;150;100.0
40.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;40.0;1;0;4;100.0
75.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;40.0;2;15;339;87.0
63.0;San Andrés;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;;2;13;219;97.0
50.0;Puerta del Angel;Madrid;Spain;Apartment;Entire home/apt;8;1.0;;;2;5;191;89.0
32.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;0;257;80.0
37.0;Recoletos;Madrid;Spain;House;Private room;2;2.0;90.0;19.0;1;9;77;100.0
71.0;Almagro;Madrid;Spain;Apartment;Entire home/apt;6;1.0;250.0;20.0;4;10;43;
18.0;Embajadores;Madrid;Spain;Dorm;Shared room;3;0.0;;;1;0;0;
50.0;Bruxelles;Brussel;Belgium;Townhouse;Private room;1;1.0;200.0;;1;0;0;
55.0;El Viso;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;20.0;1;0;339;100.0
25.0;Sol;Madrid;Spain;Apartment;Private room;4;2.0;;10.0;2;10;35;82.0
100.0;Almagro;Madrid;Spain;Apartment;Entire home/apt;2;1.0;250.0;60.0;2;0;310;95.0
140.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;250.0;15.0;4;0;300;91.0
51.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;26;
80.0;Justicia;Madrid;Spain;House;Entire home/apt;3;1.0;;15.0;3;10;159;95.0
72.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;200.0;30.0;2;7;295;93.0
75.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;20.0;3;25;158;94.0
60.0;Ménilmontant;Paris;France;Apartment;Entire home/apt;2;1.0;;15.0;1;0;0;
19.0;Chopera;Madrid;Spain;Apartment;Private room;2;1.0;;12.0;2;19;120;87.0
119.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;30.0;5;20;94;
285.0;Palacio;Madrid;Spain;Apartment;Private room;2;;;;1;0;365;
79.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;30.0;1;0;322;95.0
80.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;30.0;2;15;167;87.0
114.0;Recoletos;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;35.0;2;15;325;
32.0;Cuatro Caminos;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;10.0;1;0;38;
27.0;Longsight;Manchester;United Kingdom;House;Private room;2;1.5;70.0;5.0;1;7;42;93.0
36.0;Cortes;Madrid;Spain;Apartment;Private room;1;2.0;200.0;30.0;1;0;95;
75.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;5;1.0;200.0;45.0;2;20;265;95.0
35.0;Universidad;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;
40.0;Palacio;Madrid;Spain;Bed & Breakfast;Private room;2;1.0;;10.0;1;0;47;97.0
60.0;Palacio;Madrid;Spain;Other;Entire home/apt;4;1.0;;5.0;1;0;34;78.0
35.0;Goya;Madrid;Spain;Bed & Breakfast;Private room;2;3.0;100.0;;1;0;171;94.0
40.0;Sol;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;349;98.0
38.0;Universidad;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;99;
